Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
AAL,N/A,N/A,N/A,0.39,N/A,16.43,-15.63,1.05,N/A,N/A,N/A,N/A,0.47,0.91,0.82,0.71,0.09%,-16.95%,-8.53%,-6.67%,-3.10%,N/A,-13.88%,N/A,N/A,N/A,69.47,N/A,N/A
AEP,20.93,20.77,17.94,2.69,2.00,11.20,14.23,5.13,N/A,N/A,N/A,N/A,0.19,0.63,0.55,0.05,28.09%,19.63%,15.11%,14.97%,2.84%,11.58%,5.66%,N/A,N/A,N/A,40.86,N/A,N/A
AXP,16.55,16.73,16.32,2.96,5.61,8.83,10.85,2.89,N/A,N/A,N/A,N/A,0.23,N/A,N/A,N/A,65.30%,26.35%,24.48%,18.33%,4.21%,35.45%,17.58%,N/A,N/A,N/A,21.70,N/A,N/A
AIG,5.31,3.63,5.25,0.94,0.71,7.83,4.71,1.30,N/A,N/A,N/A,N/A,0.10,7.87,N/A,N/A,N/A,21.48%,23.24%,18.03%,1.81%,14.19%,12.57%,N/A,N/A,N/A,6.01,N/A,N/A
AMT,49.03,45.83,51.64,14.17,26.24,27.51,30.45,17.49,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,46.41%,37.88%,30.24%,27.44%,4.38%,55.97%,6.91%,N/A,N/A,N/A,74.42,N/A,N/A
AWK,22.82,22.18,27.21,8.75,4.70,23.85,21.67,10.39,N/A,N/A,N/A,N/A,0.15,0.73,0.70,0.07,38.60%,30.43%,41.73%,32.14%,4.78%,18.37%,6.67%,N/A,N/A,N/A,40.97,N/A,N/A
AMP,12.57,10.18,13.12,2.61,5.88,9.42,7.75,1.75,N/A,N/A,N/A,N/A,0.08,N/A,N/A,N/A,57.49%,26.11%,24.13%,19.88%,1.61%,47.78%,32.53%,N/A,N/A,N/A,3.15,N/A,N/A
ABC,20.37,17.30,16.17,0.12,111.29,9.34,11.57,0.16,0.23,N/A,N/A,13.08,4.21,0.94,0.54,0.06,2.93%,1.25%,1.04%,0.72%,3.03%,N/A,44.04%,30.94%,"1,143.70",91.96,13.61,"1,092.33",87.83
AME,30.41,27.33,34.58,6.17,4.96,29.50,20.03,5.42,N/A,N/A,N/A,N/A,0.50,1.36,0.87,0.22,37.98%,23.59%,22.05%,17.85%,8.90%,15.44%,14.44%,N/A,N/A,N/A,22.87,N/A,N/A
AMGN,24.15,20.28,21.87,4.96,18.75,13.92,12.64,6.03,N/A,N/A,N/A,N/A,0.42,1.59,1.26,0.66,75.16%,35.22%,25.79%,22.68%,9.50%,73.16%,21.91%,N/A,N/A,N/A,55.55,N/A,N/A
