Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
GNRC,33.79,36.30,42.39,6.05,10.13,55.00,22.76,4.25,N/A,N/A,N/A,N/A,0.92,1.60,0.66,0.13,3504.00,1969.00,1850.00,1427.00,1315.00,2960.00,2555.00,N/A,N/A,N/A,22.22,N/A,N/A
GD,20.60,20.06,18.05,1.53,3.28,13.77,15.27,2.01,N/A,N/A,N/A,N/A,0.76,1.43,1.05,0.11,1666.00,1082.00,1007.00,847.00,643.00,1956.00,1353.00,N/A,N/A,N/A,26.98,N/A,N/A
GE,N/A,N/A,N/A,1.40,2.58,31.13,13.08,1.31,N/A,N/A,N/A,N/A,0.33,1.28,0.97,0.54,2782.00,601.00,-497.00,-449.00,-147.00,-879.00,455.00,N/A,N/A,N/A,19.12,N/A,N/A
GIS,17.42,17.37,15.81,2.25,3.97,12.91,15.24,3.01,N/A,N/A,N/A,N/A,0.60,0.63,0.40,0.11,3308.00,1673.00,1690.00,1425.00,848.00,2706.00,1377.00,N/A,N/A,N/A,38.03,N/A,N/A
GM,5.89,7.49,8.75,0.68,1.47,5.67,6.39,1.03,N/A,N/A,N/A,N/A,0.53,1.10,0.93,0.42,2030.00,734.00,1001.00,789.00,418.00,1912.00,553.00,N/A,N/A,N/A,45.19,N/A,N/A
GPC,25.37,20.40,22.50,1.07,5.71,16.07,15.74,1.22,N/A,N/A,N/A,N/A,1.36,1.18,0.59,0.11,3361.00,692.00,636.00,476.00,647.00,2685.00,1873.00,N/A,N/A,N/A,24.24,N/A,N/A
GILD,12.76,19.18,14.72,3.35,4.32,8.05,8.07,3.60,N/A,N/A,N/A,N/A,0.40,1.27,1.13,0.64,7588.00,3727.00,3024.00,2274.00,913.00,3170.00,2067.00,N/A,N/A,N/A,40.15,N/A,N/A
GL,14.30,14.43,12.98,1.89,1.08,6.73,11.63,2.34,N/A,N/A,N/A,N/A,0.17,0.38,N/A,N/A,N/A,1999.00,1784.00,1457.00,253.00,856.00,832.00,N/A,N/A,N/A,6.81,N/A,N/A
GPN,41.20,489.80,41.12,4.66,1.50,14.28,13.32,5.51,N/A,N/A,N/A,N/A,0.19,1.06,1.06,0.48,5573.00,2060.00,1225.00,1133.00,216.00,365.00,461.00,N/A,N/A,N/A,27.90,N/A,N/A
GS,5.95,8.12,6.44,2.12,1.29,N/A,21.82,11.89,N/A,N/A,N/A,N/A,0.05,1.22,N/A,N/A,N/A,4288.00,4205.00,3364.00,165.00,2102.00,465.00,N/A,N/A,N/A,36.49,N/A,N/A
HAL,18.09,18.76,14.00,1.33,3.05,10.68,12.55,1.95,N/A,N/A,N/A,N/A,0.71,2.31,1.76,0.71,1318.00,1185.00,819.00,953.00,678.00,2493.00,1098.00,N/A,N/A,N/A,46.28,N/A,N/A
HIG,10.42,11.02,10.43,1.09,1.32,5.97,7.06,1.21,N/A,N/A,N/A,N/A,0.32,0.30,N/A,N/A,N/A,1398.00,1293.00,1056.00,338.00,1299.00,1388.00,N/A,N/A,N/A,6.98,N/A,N/A
HAS,25.39,20.32,31.61,2.11,4.47,16.57,7.87,2.17,N/A,N/A,N/A,N/A,0.62,1.52,1.29,0.42,4877.00,1364.00,906.00,668.00,411.00,1448.00,1126.00,N/A,N/A,N/A,41.86,N/A,N/A
HCA,10.35,9.95,12.14,1.44,N/A,9.43,7.82,1.63,N/A,N/A,N/A,N/A,1.20,1.41,1.21,0.16,1647.00,1647.00,1674.00,1184.00,1416.00,N/A,2610.00,N/A,N/A,N/A,72.38,N/A,N/A
PEAK,174.74,72.21,222.23,10.26,2.99,23.37,21.62,10.93,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,2313.00,1673.00,677.00,615.00,75.00,175.00,229.00,N/A,N/A,N/A,42.94,N/A,N/A
HSIC,17.43,16.38,17.03,0.86,3.00,14.97,10.84,0.91,N/A,N/A,N/A,N/A,1.53,1.67,0.86,0.05,2961.00,689.00,670.00,503.00,768.00,1842.00,1525.00,N/A,N/A,N/A,14.35,N/A,N/A
HSY,31.74,28.60,27.20,4.48,14.46,19.30,22.73,5.28,N/A,N/A,N/A,N/A,0.92,0.90,0.50,0.13,4423.00,2202.00,2003.00,1647.00,1512.00,5920.00,2601.00,N/A,N/A,N/A,51.63,N/A,N/A
HES,62.05,23.81,40.96,2.97,3.64,7.92,10.80,4.27,N/A,N/A,N/A,N/A,0.39,1.42,1.35,0.89,3384.00,2943.00,1931.00,724.00,284.00,958.00,1438.00,N/A,N/A,N/A,44.56,N/A,N/A
HPE,5.69,5.26,5.69,0.70,0.95,3.32,6.12,1.05,N/A,N/A,N/A,N/A,0.50,0.91,0.69,0.21,3267.00,788.00,1287.00,1230.00,614.00,1903.00,648.00,N/A,N/A,N/A,25.27,N/A,N/A
HLT,94.20,39.76,106.91,7.53,N/A,188.94,37.16,6.07,N/A,N/A,N/A,N/A,0.36,0.95,0.95,0.50,2521.00,1747.00,962.00,704.00,255.00,N/A,1065.00,N/A,N/A,N/A,63.31,N/A,N/A
